id,created_at,text
698712773165867009,2016-02-14 03:38:01,"RT @LarrySabato: John Kasich's positive approach is looking better and better. Win or lose, he can at least hold his head high."
698712431011311616,2016-02-14 03:36:39,"John Kasich has worked hard for Ohio, and today Ohioans have created more than 400,000 new jobs. #GOPDebate https://t.co/pqTsQ8AO5q"
698712392687955968,2016-02-14 03:36:30,A true leader unites. https://t.co/DgOuQLTyRe
698711951736573952,2016-02-14 03:34:45,"Lower taxes, cutting red tape and a renewed entrepreneurial spirit is growing wages in Ohio faster in the nation. https://t.co/Sodo8vN2tp"
698710890162446338,2016-02-14 03:30:32,RT @MaryTaylorOH: .@JohnKasich's support is growing because he's above using personal attacks. He has solutions for America's problems. #Ka…
698710328096370688,2016-02-14 03:28:18,"RT @glennbeck: Kasich is using the same peacemaker rhetoric as in every debate, but tonight it is working.  This debate is an embarrassment…"
698709668395286528,2016-02-14 03:25:41,"John Kasich's positive vision has launched his campaign forward. He showed that once again tonight. #GOPDebate
https://t.co/tbS4BJFLeI"
698707330859298816,2016-02-14 03:16:23,"RT @hughhewitt: Huge opening to @johnkasich to go Reagan again, +he takes it. ""We are going to lose the election to @hillaryclinton if we d…"
698707202530381824,2016-02-14 03:15:53,"RT @MikeGrunwald: ""We're fixing to lose the election to Hillary Clinton if we don't stop this."" John Kasich, telling the truth again."
698707165318516736,2016-02-14 03:15:44,"RT @hughhewitt: 45 minutes to go and @marcorubio and @johnkasich are way, way ahead in this debate"
698705722293379072,2016-02-14 03:10:00,RT @thetopstoryWYFF: The top candidates trending on Google in SC have now changed. People looking up @JohnKasich and @tedcruz. https://t.co…
698705422656499712,2016-02-14 03:08:48,"Jeb Bush made millions from Obamacare. 
https://t.co/ErHotRxBrp

#GOPDebate https://t.co/u6kgIUgotx"
698703953479905280,2016-02-14 03:02:58,.@JohnKasich said NO to creating an Obamacare exchange in Ohio. Repeal &amp; replace Obamacare &amp; send power to states. https://t.co/ekAWbJayHp
698702290924929024,2016-02-14 02:56:22,"RT @TheBradMielke: That was a huge moment for @JohnKasich -- got to defend Medicaid expansion, brag about Ohio and set himself apart as the…"
698702205663055872,2016-02-14 02:56:01,"RT @hughhewitt: And @johnkasich lays down ""Happy Warrior"" and ""Ronald Reagan"" daily double. Strong five minutes 4 the Ohio governor"
698702117796614144,2016-02-14 02:55:40,"Who has a better record on spending? Check the numbers. 

It's John Kasich. #GOPDebate https://t.co/5S2fS7Wa21"
698701932274188288,2016-02-14 02:54:56,Under Gov. @JohnKasich Ohio's Medicaid costs $2 billion less than initial estimates: https://t.co/OB6YJhZh4r
698701822379175936,2016-02-14 02:54:30,"What's the truth, Jeb? #GOPDebate https://t.co/Qf8OlyH1Cg"
698700726734712833,2016-02-14 02:50:09,As president @JohnKasich will cut taxes on job creators &amp; get the economy moving again. https://t.co/rvquDJR114 https://t.co/Grou0kUkaN
698699769888149504,2016-02-14 02:46:21,RT @CatoInstitute: .@JohnKasich is right. We should stay out of other nations' civil wars. https://t.co/1iOjyXXQou #GOPdebate #Cato2016 htt…
698699634546335745,2016-02-14 02:45:48,John Kasich actually has experience bringing jobs back home. He can do it again as president. #GOPDebate https://t.co/6D7cH678iS
698698047400730624,2016-02-14 02:39:30,"RT @WPXICara: ""The world is desperate for leadership.""  Great response.  I wanted to give @JohnKasich a standing ovation."
698697761017823232,2016-02-14 02:38:22,"RT @CBSNLive: US has an opportunity to lead in foreign diplomacy, @JohnKasich says. ""The world needs us."" https://t.co/k2raxQGpnu https://t…"
698695775480467456,2016-02-14 02:30:28,.@JohnKasich called for boots on the ground to destroy ISIS a year ago: https://t.co/KlA1bx81yF https://t.co/lxddgKcuAx
698695274282110976,2016-02-14 02:28:29,"Gov. Kasich has a plan to get our troops the support they need. 

Read it here: https://t.co/rvquDJR114 #GOPDebate https://t.co/ekg1wY5JXL"
698695027619311616,2016-02-14 02:27:30,"There's no substitute for 18 years of national security experience. 

https://t.co/niQsoT6bAo https://t.co/r0TeWf8hZl"
698693301747085314,2016-02-14 02:20:38,The past 8 years taught us an important lesson - our Commander-in-Chief must be ready to lead on Day 1. #GOPDebate https://t.co/S8Qu0s8CSD
698691099003457536,2016-02-14 02:11:53,"RT @DanaPerino: The folks are gonna like Kasich. I've said it before, and I stand by that."
698691023963172864,2016-02-14 02:11:35,"Read Gov. Kasich's full statement on the passing of Justice Scalia here:

https://t.co/ZLWEAGS3gE https://t.co/lVeMoncnzC"
698689232936656897,2016-02-14 02:04:28,RT @cslick803: Bunch of folks in Downtown Greenville having a blast! #HonkForKasich #GOPdebate https://t.co/xMFa7BKNmQ
698687300071370752,2016-02-14 01:56:47,"Big news tonight as Gov. Kasich surges in South Carolina. 

https://t.co/2mLKV0ikqI

#GOPDebate https://t.co/sSC0NV0dHV"
698684540416499713,2016-02-14 01:45:50,"Major thanks to supervolunteer Tom Volini, who followed @JohnKasich's campaign from NH to SC this week! #SCPrimary https://t.co/RDB0mT9gV1"
698678572022497280,2016-02-14 01:22:07,Nothing like a packed-out pre-debate rally to get @JohnKasich revved up for tonight's #GOPDebate! https://t.co/MBN7bogYbG
