id,created_at,text
694563399812820992,2016-02-02 16:49:53,"No fluff, just facts—that's the Truth Team way. Join now: https://t.co/i3kGrLda30 https://t.co/GVbxLLMVJl"
693927206913839104,2016-01-31 22:41:53,There's just a few hours left to #GetCovered for 2016: https://t.co/tQKL0kjbds https://t.co/t2zU5dfywk
693870329903632384,2016-01-31 18:55:52,Spread the word: Today is the last day to #GetCovered for 2016. https://t.co/D9YMF4m5vt #AreYouCovered
693851398383874048,2016-01-31 17:40:39,TODAY: The last day to check out your options and #GetCovered. Don't miss it. https://t.co/kt3fMxZbdi https://t.co/10CLJ5fooh
693847348129222656,2016-01-31 17:24:33,RT @MichelleWKwan: Just 1 day left to get #GetCovered for 2016 Vist: https://t.co/RpPMiNXi0B https://t.co/ASuMcaxDCT
693571153336496128,2016-01-30 23:07:03,The end of the open enrollment is right around the corner—make sure your friends know how to #GetCovered: https://t.co/XDUoYotwsb
693569588865290240,2016-01-30 23:00:50,RT @OFA: Millions of families now have peace of mind thanks to #Obamacare. Say you'll fight for it: https://t.co/lQwbqrGZut https://t.co/jS…
693472619895468032,2016-01-30 16:35:31,"Have a worry-free weekend, and take care of this right now: https://t.co/BHUeP88GRc #GetCovered https://t.co/loHWJlPGNx"
693451608785457152,2016-01-30 15:12:01,There's still time to #GetCovered—but hurry: https://t.co/yJPJkNBxDk https://t.co/0q8gqfaRaP
693197771998793728,2016-01-29 22:23:22,Just two days left to get #GetCovered for 2016. https://t.co/X4GbVCHO9l https://t.co/rbFDLwcqrQ
693169290250309632,2016-01-29 20:30:11,Check out what President Obama is doing to help advance #EqualPay for women. https://t.co/u2WvUyEJhi
693149655614357504,2016-01-29 19:12:10,Add your name if you agree that equal work deserves #EqualPay: https://t.co/lkIn7LW3t2
693130008689180672,2016-01-29 17:54:06,"Seven years ago, President Obama signed the Lilly Ledbetter Fair Pay Act—a step forward. But the fight isn't over. https://t.co/cNtuGPmQaj"
693120906458083329,2016-01-29 17:17:56,LIVE: President Obama is speaking about the importance of #EqualPay for women. https://t.co/UQ4VD8sSTc #StandWithWomen
693112735035318272,2016-01-29 16:45:28,"RT @WhiteHouse: RT the good news: We're taking new steps to advance #EqualPay for women → https://t.co/8UoDjb2bkO
https://t.co/Kam2Wp4BJY"
693104216466796545,2016-01-29 16:11:37,Tune in at 12:10 p.m. ET to watch President Obama speak on the anniversary of the Lilly Ledbetter Fair Pay Act. https://t.co/rte64mhVUa
692861496447991808,2016-01-29 00:07:08,Join the team that's fighting misinformation with facts: https://t.co/Qd7xprsbtR https://t.co/30tPd0bTni
692829685529481217,2016-01-28 22:00:43,Don't miss this deadline: https://t.co/jnKHuG9dCY #GetCovered https://t.co/p8VNB2yZj6
692788658286428160,2016-01-28 19:17:42,RT @djkhaled: MAJOR 🔑 ALERT!https://t.co/4O22TBTKnl the deadline is January 31st! @whitehouse #Wethebest  @barackobama bless up https://t.c…
692774847080824833,2016-01-28 18:22:49,The open enrollment period ends on Sunday—talk to your friends about how they can #GetCovered: https://t.co/kWeRXI249K
692752304097890304,2016-01-28 16:53:14,Preventive care is free under Obamacare. Check out your options and #GetCovered. https://t.co/PJsCSE6iVO https://t.co/cu0hnm3kSf
692478796340027392,2016-01-27 22:46:25,"Retweet to spread the word, and make sure your friends #GetCovered. https://t.co/rLJpf9uwA8 https://t.co/WNTBu0LyNX"
692450481126375424,2016-01-27 20:53:54,It's not too late—get your vintage tee today. https://t.co/tQoE4iDZTk https://t.co/lEPEAJzcs9
692409273263869952,2016-01-27 18:10:09,Scientists agree climate change is man-made—and we can do something about it. https://t.co/8nUjWGSP7f #ActOnClimate
692375750423392256,2016-01-27 15:56:57,"""In our criminal justice system, the punishment should fit the crime."" —President Obama https://t.co/eKF7oIwbRy"
692126767511896065,2016-01-26 23:27:35,Before Sunday: #GetCovered. https://t.co/GJghRxqGRj https://t.co/cbpfaOxhYV
